frame_no,timestamp_sec,lon,lat
323,64.4,76.254196898,
324,64.6,76.2542161,
325,64.8,76.254234851,
326,65.0,76.25425279,
327,65.2,76.254272073,25.983515981
328,65.4,76.254290979,25.983558666
329,65.6,76.254308781,25.983598763
330,65.8,76.254327761,25.983641
331,66.0,76.25434678,
332,66.2,76.254364393,25.983724264
333,66.4,76.254383078,25.98376721
334,66.6,76.25440189,25.983810041
335,66.8,76.254419398,25.983849782
336,67.0,76.254438227,
337,67.2,76.25445568,
338,67.4,76.254474504,
339,67.6,76.254493391,25.984019701
340,67.8,76.254510906,
341,68.0,76.254529606,
342,68.2,76.254547275,
343,68.4,76.25456626,
344,68.6,76.254584796,
345,68.8,76.25460282,25.984269603
346,69.0,76.254621633,25.984312417
347,69.2,76.254639636,
348,69.4,76.254658406,25.984396047
349,69.6,76.254676121,
350,69.8,76.254695312,25.984479867
351,70.0,76.254714129,25.98452269
352,70.2,76.254731734,25.984562733
353,70.4,76.254750498,
354,70.6,76.254768665,
355,70.8,76.254787606,
356,71.0,76.254806615,
357,71.2,76.254824415,25.98477231
358,71.4,76.254843413,25.984815152
359,71.6,76.254861876,
360,71.8,76.254879632,25.984897239
361,72.0,76.254898837,
362,72.2,76.254917498,
363,72.4,76.254936437,25.985025551
364,72.6,76.254954087,25.985065555
365,72.8,76.254972423,
366,73.0,76.254990971,
367,73.2,76.255009191,
368,73.4,76.255027831,25.985235258
369,73.6,76.255045251,
370,73.8,76.25506382,25.985317368
371,74.0,76.255082743,25.985359968
372,74.2,76.255101,25.985401
373,74.4,76.255120041,25.985444701
374,74.6,76.25513747,25.985483973
375,74.8,76.255156475,25.98552667
376,75.0,76.255174966,25.985568503
377,75.2,76.255193643,25.98561
378,75.4,76.255212269,25.985654407
379,75.6,76.25522951,25.985694208
380,75.8,76.255248214,25.985737237
381,76.0,76.255266497,25.985779106
382,76.2,76.255285378,
383,76.4,76.255303145,25.985862236
384,76.6,76.255322183,25.985904879
385,76.8,76.255340975,25.985946698
386,77.0,76.255359122,
387,77.2,76.255378121,25.986029389
388,77.4,76.25539704,25.986072002
389,77.6,76.255416006,25.986114951
390,77.8,76.255433689,
391,78.0,76.255452614,
392,78.2,76.255470379,25.98623791
393,78.4,76.25548909,25.986280678
394,78.6,76.255507734,25.986323399
395,78.8,76.25552528,25.98636381
396,79.0,76.255543906,25.98640751
397,79.2,76.255562043,25.986450481
398,79.4,76.255579307,25.986490373
399,79.6,76.255598278,25.986533329
400,79.8,76.255617247,
401,80.0,76.255634803,25.986616552
402,80.2,76.255653408,25.986659249
403,80.4,76.255671048,
404,80.6,76.255689823,
405,80.8,76.255708578,25.98678501
406,81.0,76.255726388,25.986825437
407,81.2,76.255745535,
408,81.4,76.255764016,25.986910767
409,81.6,76.255781801,25.986951165
410,81.8,76.255800939,25.986994602
411,82.0,76.255819634,25.98703669
412,82.2,76.255837629,25.987077438
413,82.4,76.255856266,
414,82.6,76.25587494,25.987162281
415,82.8,76.255893466,25.987204396
416,83.0,76.255912241,25.987247447
417,83.2,76.255930473,25.987289455
418,83.4,76.255947585,25.987328887
419,83.6,76.255967454,25.987373881
420,83.8,76.255984989,25.987412924
421,84.0,76.256004974,
422,84.2,76.256022286,
423,84.4,76.256040828,
424,84.6,76.256059252,25.987580289
425,84.8,76.256077725,25.987622286
426,85.0,76.256096141,25.987664276
427,85.2,76.2561,
428,85.4,76.256133271,25.98774881
429,85.6,76.2561516,25.987790677
430,85.8,76.256169928,
431,86.0,76.256188239,25.987874629
432,86.2,76.256206781,25.987917391
433,86.4,76.256224795,
434,86.6,76.256243016,25.988001309
435,86.8,76.256261692,
436,87.0,76.256280133,
437,87.2,76.256297395,
438,87.4,76.256316257,
439,87.6,76.25633493,
440,87.8,76.256353423,25.988251964
441,88.0,76.256372409,25.988294864
442,88.2,76.256390987,
443,88.4,76.256409644,
444,88.6,76.256428374,25.988420434
445,88.8,76.256447551,25.988463334
446,89.0,76.256466422,
447,89.2,76.256485436,
448,89.4,76.256502902,
449,89.6,76.256521446,
450,89.8,76.256541012,
451,90.0,76.256559523,25.988714784
452,90.2,76.256577468,25.988755802
453,90.4,76.25659591,25.988797839
454,90.6,76.256614099,
455,90.8,76.256632867,25.988881777
456,91.0,76.256651044,25.988923354
457,91.2,76.256669649,25.98896621
458,91.4,76.256687442,25.989007659
459,91.6,76.256705712,25.989050194
460,91.8,76.256724141,
461,92.0,76.256742357,
462,92.2,76.256759787,
463,92.4,76.25677787,25.989217869
